#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=0:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=0 open_gop=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:93 out:94 type:b dur:2 cpbdur:2 q:34.06 aq:29.85 tex:38792 mv:25065 misc:3551 imb:672 pmb:1491 smb:1437 d:- ref:0 ;
in:96 out:95 type:P dur:2 cpbdur:2 q:34.16 aq:29.63 tex:73194 mv:30040 misc:3526 imb:2342 pmb:520 smb:738 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:34.12 aq:30.40 tex:38524 mv:23466 misc:3466 imb:690 pmb:1430 smb:1480 d:s ref:0 ;
in:98 out:97 type:P dur:2 cpbdur:2 q:34.22 aq:29.21 tex:76705 mv:30276 misc:3547 imb:2410 pmb:488 smb:702 d:s ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:34.19 aq:31.10 tex:38811 mv:25090 misc:3467 imb:687 pmb:1464 smb:1449 d:s ref:0 ;
in:100 out:99 type:P dur:2 cpbdur:2 q:34.29 aq:30.18 tex:70747 mv:30839 misc:3534 imb:2252 pmb:611 smb:737 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:34.25 aq:31.13 tex:38946 mv:25722 misc:3532 imb:776 pmb:1458 smb:1366 d:s ref:0 ;
in:102 out:101 type:P dur:2 cpbdur:2 q:34.31 aq:29.56 tex:73453 mv:28975 misc:3468 imb:2268 pmb:477 smb:855 d:s ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:34.30 aq:31.24 tex:42992 mv:26072 misc:3376 imb:812 pmb:1356 smb:1432 d:s ref:0 ;
in:104 out:103 type:P dur:2 cpbdur:2 q:34.36 aq:30.14 tex:83249 mv:32433 misc:3606 imb:2524 pmb:499 smb:577 d:s ref:0 ;
